ntaname,flood_classification,flooded_area,shape_area,boroname,flooded_area_perc,ntaname_boro
Astoria (North)-Ditmars-Steinway,Future High Tides 2080,219671.52899299114,58301781.4345,Queens,0.38,"Astoria (North)-Ditmars-Steinway, Queens"
Astoria (North)-Ditmars-Steinway,Nuisance Flooding,1994969.4235838614,58301781.4345,Queens,3.42,"Astoria (North)-Ditmars-Steinway, Queens"
Astoria Park,Deep and Contiguous Flooding,31816.362052714136,2674946.18123,Queens,1.19,"Astoria Park, Queens"
Astoria Park,Future High Tides 2080,2482.3303272341873,2674946.18123,Queens,0.09,"Astoria Park, Queens"
Astoria Park,Nuisance Flooding,25060.202021045283,2674946.18123,Queens,0.94,"Astoria Park, Queens"
Auburndale,Deep and Contiguous Flooding,3744909.1059937924,55464872.0522,Queens,6.75,"Auburndale, Queens"
Auburndale,Nuisance Flooding,2575431.864708657,55464872.0522,Queens,4.64,"Auburndale, Queens"
Baisley Park,Deep and Contiguous Flooding,4159300.971150496,47948908.2805,Queens,8.67,"Baisley Park, Queens"
Baisley Park,Nuisance Flooding,2440984.5550873266,47948908.2805,Queens,5.09,"Baisley Park, Queens"
Barren Island-Floyd Bennett Field,Deep and Contiguous Flooding,178650.21214730784,54666303.4387,Brooklyn,0.33,"Barren Island-Floyd Bennett Field, Brooklyn"
Barren Island-Floyd Bennett Field,Future High Tides 2080,718755.1157105559,54666303.4387,Brooklyn,1.31,"Barren Island-Floyd Bennett Field, Brooklyn"
Barren Island-Floyd Bennett Field,Nuisance Flooding,1103018.371616817,54666303.4387,Brooklyn,2.02,"Barren Island-Floyd Bennett Field, Brooklyn"
Bath Beach,Deep and Contiguous Flooding,1347618.0851386408,20556460.0625,Brooklyn,6.56,"Bath Beach, Brooklyn"
Bath Beach,Future High Tides 2080,41129.29274903129,20556460.0625,Brooklyn,0.2,"Bath Beach, Brooklyn"
Bath Beach,Nuisance Flooding,1160912.2073785008,20556460.0625,Brooklyn,5.65,"Bath Beach, Brooklyn"
Bay Ridge,Deep and Contiguous Flooding,1398147.1143056038,61637531.5168,Brooklyn,2.27,"Bay Ridge, Brooklyn"
Bay Ridge,Future High Tides 2080,200039.814764681,61637531.5168,Brooklyn,0.32,"Bay Ridge, Brooklyn"
Bay Ridge,Nuisance Flooding,2466249.136447473,61637531.5168,Brooklyn,4.0,"Bay Ridge, Brooklyn"
Bay Terrace-Clearview,Deep and Contiguous Flooding,1416865.8144906682,39315519.5052,Queens,3.6,"Bay Terrace-Clearview, Queens"
Bay Terrace-Clearview,Future High Tides 2080,171439.61506189933,39315519.5052,Queens,0.44,"Bay Terrace-Clearview, Queens"
Bay Terrace-Clearview,Nuisance Flooding,1734831.3632232698,39315519.5052,Queens,4.41,"Bay Terrace-Clearview, Queens"
Bayside,Deep and Contiguous Flooding,2229824.572974828,70410061.0842,Queens,3.17,"Bayside, Queens"
Bayside,Future High Tides 2080,907895.830156106,70410061.0842,Queens,1.29,"Bayside, Queens"
Bayside,Nuisance Flooding,2365962.537254287,70410061.0842,Queens,3.36,"Bayside, Queens"
Bedford Park,Deep and Contiguous Flooding,99511.94242454371,24552528.7488,Bronx,0.41,"Bedford Park, Bronx"
Bedford Park,Nuisance Flooding,142424.55224182035,24552528.7488,Bronx,0.58,"Bedford Park, Bronx"
Bedford-Stuyvesant (East),Deep and Contiguous Flooding,3111636.190415533,41289700.877,Brooklyn,7.54,"Bedford-Stuyvesant (East), Brooklyn"
Bedford-Stuyvesant (East),Nuisance Flooding,1228004.2590788547,41289700.877,Brooklyn,2.97,"Bedford-Stuyvesant (East), Brooklyn"
Bedford-Stuyvesant (West),Deep and Contiguous Flooding,2382767.577314366,36906698.8321,Brooklyn,6.46,"Bedford-Stuyvesant (West), Brooklyn"
Bedford-Stuyvesant (West),Nuisance Flooding,1347948.340799244,36906698.8321,Brooklyn,3.65,"Bedford-Stuyvesant (West), Brooklyn"
Bellerose,Deep and Contiguous Flooding,2833262.4209198235,55322223.1494,Queens,5.12,"Bellerose, Queens"
Bellerose,Nuisance Flooding,3437814.5405544923,55322223.1494,Queens,6.21,"Bellerose, Queens"
Belmont,Deep and Contiguous Flooding,384363.6350709841,16393957.7466,Bronx,2.34,"Belmont, Bronx"
Belmont,Nuisance Flooding,191056.67154560125,16393957.7466,Bronx,1.17,"Belmont, Bronx"
Bensonhurst,Deep and Contiguous Flooding,1614151.7048222201,48634931.2239,Brooklyn,3.32,"Bensonhurst, Brooklyn"
Bensonhurst,Nuisance Flooding,3876987.6502886876,48634931.2239,Brooklyn,7.97,"Bensonhurst, Brooklyn"
Borough Park,Deep and Contiguous Flooding,2261918.446190152,40481286.3048,Brooklyn,5.59,"Borough Park, Brooklyn"
Borough Park,Nuisance Flooding,2941435.5020135655,40481286.3048,Brooklyn,7.27,"Borough Park, Brooklyn"
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Deep and Contiguous Flooding,45010.99527633823,69230686.891,Queens,0.07,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel, Queens"
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Future High Tides 2080,34532073.99610616,69230686.891,Queens,49.88,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel, Queens"
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Nuisance Flooding,130386.03008465121,69230686.891,Queens,0.19,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel, Queens"
Brighton Beach,Deep and Contiguous Flooding,48407.90136858431,13564292.9924,Brooklyn,0.36,"Brighton Beach, Brooklyn"
Brighton Beach,Future High Tides 2080,3155362.0383575764,13564292.9924,Brooklyn,23.26,"Brighton Beach, Brooklyn"
Brighton Beach,Nuisance Flooding,909093.2244604261,13564292.9924,Brooklyn,6.7,"Brighton Beach, Brooklyn"
Bronx Park,Deep and Contiguous Flooding,84138.6033740716,33461446.4709,Bronx,0.25,"Bronx Park, Bronx"
Bronx Park,Future High Tides 2080,350445.3738877046,33461446.4709,Bronx,1.05,"Bronx Park, Bronx"
Bronx Park,Nuisance Flooding,39457.562404681914,33461446.4709,Bronx,0.12,"Bronx Park, Bronx"
Brooklyn Heights,Deep and Contiguous Flooding,66356.10891429018,9982321.5639,Brooklyn,0.66,"Brooklyn Heights, Brooklyn"
Brooklyn Heights,Future High Tides 2080,55508.02230020634,9982321.5639,Brooklyn,0.56,"Brooklyn Heights, Brooklyn"
Brooklyn Heights,Nuisance Flooding,87691.65481202285,9982321.5639,Brooklyn,0.88,"Brooklyn Heights, Brooklyn"
Brooklyn Navy Yard,Deep and Contiguous Flooding,96752.0794674368,10106059.8309,Brooklyn,0.96,"Brooklyn Navy Yard, Brooklyn"
Brooklyn Navy Yard,Future High Tides 2080,25766.401873696483,10106059.8309,Brooklyn,0.25,"Brooklyn Navy Yard, Brooklyn"
Brooklyn Navy Yard,Nuisance Flooding,27108.799053608356,10106059.8309,Brooklyn,0.27,"Brooklyn Navy Yard, Brooklyn"
